Date,CTA (BTOP50)
1987-01-31,0.11
1987-02-28,1102.599
1987-03-31,1122.0092
1987-04-30,0.1453
1987-05-31,1296.3189
1987-06-30,1298.4799
1987-07-31,0.0479
1987-08-31,1358.9848
1987-09-30,-0.0075
1987-10-31,1342.7863
1987-11-30,0.0977
1987-12-31,1576.4963
1988-01-31,1518.5679
1988-02-29,1535.3132
1988-03-31,1532.3592
1988-04-30,-0.0393
1988-05-31,1554.4264
1988-06-30,0.1293
1988-07-31,-0.0176
1988-08-31,1737.9927
1988-09-30,0.0066
1988-10-31,1788.3086
1988-11-30,0.0007000000000000001
1988-12-31,0.0105
1989-01-31,1869.248
1989-02-28,1801.9924
1989-03-31,0.025500000000000002
1989-04-30,1816.6778
1989-05-31,0.0731
1989-06-30,1946.1187
1989-07-31,0.0004
1989-08-31,1870.5683
1989-09-30,1845.9198
1989-10-31,1790.1656
1989-11-30,0.0131
1989-12-31,0.0311
1990-01-31,1871.5267
1990-02-28,1879.7895
1990-03-31,1902.9391
1990-04-30,1959.7437
1990-05-31,1897.9412
1990-06-30,1902.1793
1990-07-31,0.0363
1990-08-31,0.0493
1990-09-30,2115.669
1990-10-31,0.0208
1990-11-30,0.0074
1990-12-31,2155.034
1991-01-31,2048.8296
1991-02-28,2053.673
1991-03-31,2168.9724
1991-04-30,2181.5611
1991-05-31,-0.023799999999999998
1991-06-30,2190.6888
1991-07-31,-0.018500000000000003
1991-08-31,2139.4328
1991-09-30,0.0444
1991-10-31,-0.0146
1991-11-30,0.0146
1991-12-31,0.1063
1992-01-31,-0.0663
1992-02-29,2254.0349
1992-03-31,-0.003
1992-04-30,2176.2991
1992-05-31,0.0027
1992-06-30,2309.6229
1992-07-31,2480.4541
1992-08-31,2608.2025
1992-09-30,-0.0208
1992-10-31,-0.0047
1992-11-30,0.0129
1992-12-31,2534.3978
1993-01-31,-0.0091
1993-02-28,0.0687
1993-03-31,2671.1935
1993-04-30,0.0317
1993-05-31,0.0125
1993-06-30,2821.6058
1993-07-31,2910.1393
1993-08-31,-0.0015
1993-09-30,2880.0629
1993-10-31,2853.5663
1993-11-30,2827.6245
1993-12-31,0.0166
1994-01-31,-0.031
1994-02-28,-0.0215
1994-03-31,2782.5553
1994-04-30,2759.3599
1994-05-31,2817.8308
1994-06-30,0.0348
1994-07-31,2857.7058
1994-08-31,-0.029900000000000003
1994-09-30,2800.7358
1994-10-31,0.0087
