Date,Carry5,Carry20,Carry60,Carry120,symbol
2002-09-03,-20.0,-20.0,-20.0,-20.0,DOW
2002-09-04,-20.0,-20.0,-20.0,-20.0,DOW
2002-09-05,-20.0,-20.0,-20.0,-20.0,DOW
2002-09-06,-20.0,-20.0,-20.0,-20.0,DOW
2002-09-09,-20.0,-20.0,-20.0,-20.0,DOW
2002-09-10,-20.0,-20.0,-20.0,-20.0,DOW
2002-09-11,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-02,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-03,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-04,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-05,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-06,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-09,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-10,-20.0,-20.0,-20.0,-20.0,DOW
2002-12-11,-20.0,-20.0,-20.0,-20.0,DOW
2003-03-03,-20.0,-20.0,-20.0,-20.0,DOW
2003-03-04,-20.0,-20.0,-20.0,-20.0,DOW
2003-03-05,-20.0,-20.0,-20.0,-20.0,DOW
2003-03-06,-20.0,-20.0,-20.0,-20.0,DOW
2003-03-07,-20.0,-20.0,-20.0,-20.0,DOW
2003-03-10,-20.0,-20.0,-20.0,-20.0,DOW
2003-03-11,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-02,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-03,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-04,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-05,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-06,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-09,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-10,-20.0,-20.0,-20.0,-20.0,DOW
2003-06-11,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-02,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-03,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-04,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-05,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-08,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-09,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-10,-20.0,-20.0,-20.0,-20.0,DOW
2003-09-11,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-02,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-03,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-04,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-05,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-08,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-09,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-10,-20.0,-20.0,-20.0,-20.0,DOW
2003-12-11,-20.0,-20.0,-20.0,-20.0,DOW
2004-03-02,-20.0,-20.0,-20.0,-20.0,DOW
