Date,Carry5,Carry20,Carry60,Carry120,symbol
2014-06-12,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-13,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-16,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-17,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-18,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-19,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-20,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-23,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-25,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-26,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-27,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-06-30,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-01,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-02,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-04,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-07,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-08,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-09,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-10,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-11,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-14,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-15,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-16,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-17,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-18,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-21,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-22,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-23,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-24,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-07-28,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-06,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-11,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-12,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-13,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-14,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-15,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-18,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-19,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-20,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-21,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-22,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-25,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-26,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-27,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-28,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-08-29,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-02,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-03,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-04,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-05,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-08,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-09,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-10,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-11,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-12,-20.0,-20.0,-20.0,-20.0,EUROSTX
2014-09-15,-18.722623881277563,-20.0,-20.0,-20.0,EUROSTX
2014-09-16,-13.521459496917757,-20.0,-20.0,-20.0,EUROSTX
2014-09-17,-7.964383201771406,-20.0,-20.0,-20.0,EUROSTX
