Date,Carry5,Carry20,Carry60,Carry120,symbol
1975-05-30,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-02,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-03,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-04,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-05,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-06,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-09,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-10,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-11,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-12,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-13,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-16,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-17,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-18,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-19,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-20,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-23,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-24,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-25,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-26,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-27,-20.0,-20.0,-20.0,-20.0,GOLD
1975-06-30,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-01,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-02,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-03,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-07,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-08,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-09,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-10,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-11,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-14,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-15,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-16,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-17,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-18,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-21,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-22,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-23,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-24,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-25,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-28,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-29,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-30,-20.0,-20.0,-20.0,-20.0,GOLD
1975-07-31,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-01,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-04,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-05,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-06,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-07,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-08,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-11,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-12,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-13,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-14,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-15,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-18,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-19,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-20,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-21,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-22,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-25,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-26,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-27,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-28,-20.0,-20.0,-20.0,-20.0,GOLD
1975-08-29,-20.0,-20.0,-20.0,-20.0,GOLD
1975-09-02,-19.930752792430326,-20.0,-20.0,-20.0,GOLD
1975-09-03,-17.901045042075623,-20.0,-20.0,-20.0,GOLD
1975-09-04,-16.31902633436672,-20.0,-20.0,-20.0,GOLD
1975-09-05,-15.089490074763926,-20.0,-20.0,-20.0,GOLD
1975-09-08,-13.838960661807137,-20.0,-20.0,-20.0,GOLD
1975-09-09,-13.014083667880955,-20.0,-20.0,-20.0,GOLD
1975-09-10,-12.320781156909984,-20.0,-20.0,-20.0,GOLD
1975-09-11,-11.915763350007808,-20.0,-20.0,-20.0,GOLD
1975-09-12,-11.664465567381557,-20.0,-20.0,-20.0,GOLD
1975-09-15,-11.6174013513941,-20.0,-20.0,-20.0,GOLD
1975-09-16,-11.367094622801668,-20.0,-20.0,-20.0,GOLD
1975-09-17,-11.140485561229998,-20.0,-20.0,-20.0,GOLD
1975-09-18,-10.54894535896298,-20.0,-20.0,-20.0,GOLD
1975-09-19,-10.143162488167903,-20.0,-20.0,-20.0,GOLD
1975-09-22,-9.828058937997477,-20.0,-20.0,-20.0,GOLD
1975-09-23,-9.589671845989677,-19.32295556849029,-20.0,-20.0,GOLD
1975-09-24,-9.183754643115087,-18.274887125919015,-20.0,-20.0,GOLD
1975-09-25,-9.085863376390334,-17.375666916080405,-20.0,-20.0,GOLD
1975-09-26,-9.17697538619962,-16.60647819584715,-20.0,-20.0,GOLD
1975-09-29,-9.090560941364187,-15.868770636561642,-20.0,-20.0,GOLD
1975-09-30,-9.868938690750682,-15.438642874990515,-20.0,-20.0,GOLD
1975-10-01,-10.417325406750836,-15.057845164192727,-20.0,-20.0,GOLD
1975-10-02,-10.627793605613538,-14.669277259380154,-20.0,-20.0,GOLD
1975-10-03,-10.565315683510349,-14.260147335190435,-20.0,-20.0,GOLD
1975-10-06,-10.47477931757701,-13.876104749682655,-20.0,-20.0,GOLD
1975-10-07,-10.558371013159228,-13.569502284525841,-20.0,-20.0,GOLD
1975-10-08,-10.397553188025512,-13.230626606900955,-20.0,-20.0,GOLD
1975-10-09,-10.107308424323762,-12.872065026932736,-20.0,-20.0,GOLD
1975-10-10,-10.038495956068543,-12.583047748475805,-20.0,-20.0,GOLD
1975-10-14,-10.000879841620574,-12.323900469687635,-20.0,-20.0,GOLD
1975-10-15,-9.978246664127894,-12.090127758110087,-20.0,-20.0,GOLD
1975-10-16,-9.971353470357434,-11.880945696754518,-20.0,-20.0,GOLD
1975-10-17,-10.247423355659233,-11.77136163238649,-20.0,-20.0,GOLD
1975-10-20,-10.44053091438507,-11.674786393240227,-20.0,-20.0,GOLD
1975-10-21,-10.407379732512444,-11.54145123335551,-20.0,-20.0,GOLD
1975-10-22,-10.38128087503654,-11.419679679350859,-20.0,-20.0,GOLD
1975-10-23,-10.398751527923743,-11.319404357571113,-20.0,-20.0,GOLD
1975-10-24,-10.242394504690159,-11.180985686074653,-20.0,-20.0,GOLD
1975-10-27,-9.969603462809777,-11.007900541545876,-20.0,-20.0,GOLD
1975-10-28,-9.093464611266594,-10.65420648711318,-20.0,-20.0,GOLD
1975-10-29,-8.85765204568342,-10.433068073322397,-20.0,-20.0,GOLD
1975-10-30,-8.704067381986677,-10.234019168559065,-20.0,-20.0,GOLD
1975-10-31,-8.44778863357687,-10.010240962515503,-20.0,-20.0,GOLD
1975-11-03,-8.333773456189633,-9.823910070355447,-20.0,-20.0,GOLD
1975-11-05,-8.717033931614202,-9.785703723167783,-20.0,-20.0,GOLD
1975-11-06,-8.925638876120892,-9.737821421748146,-20.0,-20.0,GOLD
1975-11-07,-9.169272379422218,-9.724183067185972,-20.0,-20.0,GOLD
1975-11-10,-9.427685505686823,-9.73909368021728,-20.0,-20.0,GOLD
1975-11-12,-9.902892944576724,-9.838581243009637,-20.0,-20.0,GOLD
1975-11-13,-10.212741189360642,-9.92661891242383,-20.0,-20.0,GOLD
1975-11-14,-10.2170898287768,-9.948866275978387,-20.0,-20.0,GOLD
1975-11-17,-9.962763485726544,-9.895973120792068,-20.0,-20.0,GOLD
