Date,Carry5,Carry20,Carry60,Carry120,symbol
1982-12-01,20.0,20.0,20.0,20.0,SP500
1982-12-02,20.0,20.0,20.0,20.0,SP500
1982-12-03,20.0,20.0,20.0,20.0,SP500
1982-12-06,20.0,20.0,20.0,20.0,SP500
1982-12-07,20.0,20.0,20.0,20.0,SP500
1982-12-08,20.0,20.0,20.0,20.0,SP500
1982-12-09,20.0,20.0,20.0,20.0,SP500
1982-12-10,20.0,20.0,20.0,20.0,SP500
1982-12-13,20.0,20.0,20.0,20.0,SP500
1983-03-02,20.0,20.0,20.0,20.0,SP500
1983-03-03,20.0,20.0,20.0,20.0,SP500
1983-03-04,20.0,20.0,20.0,20.0,SP500
1983-03-07,20.0,20.0,20.0,20.0,SP500
1983-03-08,20.0,20.0,20.0,20.0,SP500
1983-03-09,20.0,20.0,20.0,20.0,SP500
1983-03-10,20.0,20.0,20.0,20.0,SP500
1983-03-11,20.0,20.0,20.0,20.0,SP500
1983-06-02,20.0,20.0,20.0,20.0,SP500
1983-06-03,20.0,20.0,20.0,20.0,SP500
1983-06-06,20.0,20.0,20.0,20.0,SP500
1983-06-07,20.0,20.0,20.0,20.0,SP500
1983-06-08,20.0,20.0,20.0,20.0,SP500
1983-06-09,20.0,20.0,20.0,20.0,SP500
1983-06-10,20.0,20.0,20.0,20.0,SP500
1983-06-13,20.0,20.0,20.0,20.0,SP500
1983-09-02,20.0,20.0,20.0,20.0,SP500
1983-09-06,20.0,20.0,20.0,20.0,SP500
1983-09-07,20.0,20.0,20.0,20.0,SP500
1983-09-08,20.0,20.0,20.0,20.0,SP500
1983-09-09,20.0,20.0,20.0,20.0,SP500
1983-09-12,20.0,20.0,20.0,20.0,SP500
1983-12-02,20.0,20.0,20.0,20.0,SP500
1983-12-05,20.0,20.0,20.0,20.0,SP500
1983-12-06,20.0,20.0,20.0,20.0,SP500
1983-12-07,20.0,20.0,20.0,20.0,SP500
1983-12-08,20.0,20.0,20.0,20.0,SP500
1983-12-09,20.0,20.0,20.0,20.0,SP500
1983-12-12,20.0,20.0,20.0,20.0,SP500
1984-03-02,20.0,20.0,20.0,20.0,SP500
1984-03-05,20.0,20.0,20.0,20.0,SP500
1984-03-06,20.0,20.0,20.0,20.0,SP500
1984-03-07,20.0,20.0,20.0,20.0,SP500
1984-03-08,20.0,20.0,20.0,20.0,SP500
1984-03-09,20.0,20.0,20.0,20.0,SP500
1984-03-12,20.0,20.0,20.0,20.0,SP500
1984-06-04,20.0,20.0,20.0,20.0,SP500
1984-06-05,20.0,20.0,20.0,20.0,SP500
1984-06-06,20.0,20.0,20.0,20.0,SP500
1984-06-07,20.0,20.0,20.0,20.0,SP500
1984-06-08,20.0,20.0,20.0,20.0,SP500
1984-06-11,20.0,20.0,20.0,20.0,SP500
1984-06-12,20.0,20.0,20.0,20.0,SP500
1984-09-04,20.0,20.0,20.0,20.0,SP500
1984-09-05,20.0,20.0,20.0,20.0,SP500
1984-09-06,20.0,20.0,20.0,20.0,SP500
1984-09-07,20.0,20.0,20.0,20.0,SP500
