Date,Carry5,Carry20,Carry60,Carry120,symbol
2000-04-28,-20.0,-20.0,-20.0,-20.0,US2
2000-05-01,-20.0,-20.0,-20.0,-20.0,US2
2000-05-02,-12.550680942972694,-20.0,-20.0,-20.0,US2
2000-05-03,2.390605893899549,-20.0,-20.0,-20.0,US2
2000-05-04,12.351463785147713,-20.0,-20.0,-20.0,US2
2000-05-05,8.234309190098477,-20.0,-20.0,-20.0,US2
2000-05-08,-5.268187062482362,-20.0,-20.0,-20.0,US2
2000-05-09,-14.26985123086959,-20.0,-20.0,-20.0,US2
2000-05-10,-20.0,-20.0,-20.0,-20.0,US2
2000-05-11,-20.0,-20.0,-20.0,-20.0,US2
2000-05-12,-20.0,-20.0,-20.0,-20.0,US2
2000-05-15,-20.0,-20.0,-20.0,-20.0,US2
2000-05-16,-20.0,-20.0,-20.0,-20.0,US2
2000-05-17,-20.0,-20.0,-20.0,-20.0,US2
2000-05-18,-20.0,-20.0,-20.0,-20.0,US2
2000-05-19,-20.0,-20.0,-20.0,-20.0,US2
2000-05-22,-20.0,-20.0,-20.0,-20.0,US2
2000-05-23,-20.0,-20.0,-20.0,-20.0,US2
2000-05-24,-20.0,-20.0,-20.0,-20.0,US2
2000-05-25,-20.0,-20.0,-20.0,-20.0,US2
2000-05-26,-20.0,-20.0,-20.0,-20.0,US2
2000-05-30,-20.0,-20.0,-20.0,-20.0,US2
2000-05-31,-20.0,-20.0,-20.0,-20.0,US2
2000-06-02,-20.0,-20.0,-20.0,-20.0,US2
2000-06-05,-20.0,-20.0,-20.0,-20.0,US2
2000-06-06,-20.0,-20.0,-20.0,-20.0,US2
2000-06-07,-20.0,-20.0,-20.0,-20.0,US2
2000-06-08,-20.0,-20.0,-20.0,-20.0,US2
2000-06-09,-20.0,-20.0,-20.0,-20.0,US2
2000-06-12,-20.0,-20.0,-20.0,-20.0,US2
2000-06-13,-20.0,-20.0,-20.0,-20.0,US2
2000-06-14,-20.0,-20.0,-20.0,-20.0,US2
2000-06-15,-20.0,-20.0,-20.0,-20.0,US2
2000-06-16,-20.0,-20.0,-20.0,-20.0,US2
2000-06-19,-20.0,-20.0,-20.0,-20.0,US2
2000-06-20,-20.0,-20.0,-20.0,-20.0,US2
2000-06-21,-20.0,-20.0,-20.0,-20.0,US2
2000-06-22,-20.0,-20.0,-20.0,-20.0,US2
2000-06-23,-20.0,-20.0,-20.0,-20.0,US2
2000-06-26,-20.0,-20.0,-20.0,-20.0,US2
2000-06-27,-20.0,-20.0,-20.0,-20.0,US2
2000-06-28,-20.0,-20.0,-20.0,-20.0,US2
2000-06-29,-20.0,-20.0,-20.0,-20.0,US2
2000-06-30,-20.0,-20.0,-20.0,-20.0,US2
2000-07-03,-20.0,-20.0,-20.0,-20.0,US2
2000-07-05,-20.0,-20.0,-20.0,-20.0,US2
2000-07-06,-20.0,-20.0,-20.0,-20.0,US2
2000-07-07,-20.0,-20.0,-20.0,-20.0,US2
2000-07-10,-20.0,-20.0,-20.0,-20.0,US2
2000-07-11,-20.0,-20.0,-20.0,-20.0,US2
2000-07-12,-20.0,-20.0,-20.0,-20.0,US2
2000-07-13,-20.0,-20.0,-20.0,-20.0,US2
2000-07-14,-20.0,-20.0,-20.0,-20.0,US2
2000-07-17,-20.0,-20.0,-20.0,-20.0,US2
2000-07-18,-20.0,-20.0,-20.0,-20.0,US2
2000-07-19,-20.0,-20.0,-20.0,-20.0,US2
2000-07-20,-20.0,-20.0,-20.0,-20.0,US2
2000-07-21,-20.0,-20.0,-20.0,-20.0,US2
2000-07-24,-20.0,-20.0,-20.0,-20.0,US2
2000-07-25,-20.0,-20.0,-20.0,-20.0,US2
2000-07-26,-20.0,-20.0,-20.0,-20.0,US2
2000-07-27,-20.0,-20.0,-20.0,-20.0,US2
2000-07-28,-20.0,-20.0,-20.0,-20.0,US2
2000-07-31,-20.0,-20.0,-20.0,-20.0,US2
2000-08-01,-20.0,-20.0,-20.0,-20.0,US2
2000-08-02,-20.0,-20.0,-20.0,-20.0,US2
2000-08-03,-19.329607804993334,-20.0,-20.0,-20.0,US2
2000-08-04,-13.761703868458916,-20.0,-20.0,-20.0,US2
2000-08-07,-10.06968299244746,-20.0,-20.0,-20.0,US2
2000-08-08,-7.608001941953302,-20.0,-20.0,-20.0,US2
2000-08-09,-5.979425782923517,-20.0,-20.0,-20.0,US2
2000-08-10,-4.6809805957962265,-20.0,-20.0,-20.0,US2
2000-08-11,-3.7897727667772028,-20.0,-20.0,-20.0,US2
2000-08-14,-3.197431964166685,-20.0,-20.0,-20.0,US2
2000-08-15,-2.799582601000559,-20.0,-20.0,-20.0,US2
2000-08-16,-2.093797861638791,-20.0,-20.0,-20.0,US2
2000-08-17,-1.5100045688517583,-20.0,-20.0,-20.0,US2
2000-08-18,-0.7670473606568368,-20.0,-20.0,-20.0,US2
2000-08-21,-0.38988983907684,-20.0,-20.0,-20.0,US2
2000-08-22,-0.014190532108375554,-20.0,-20.0,-20.0,US2
2000-08-23,0.4778556703837999,-20.0,-20.0,-20.0,US2
2000-08-24,1.0500382225413403,-20.0,-20.0,-20.0,US2
2000-08-25,1.4362704983876373,-20.0,-20.0,-20.0,US2
2000-08-28,1.0820953004565386,-20.0,-20.0,-20.0,US2
2000-08-29,-0.36581511265742683,-20.0,-20.0,-20.0,US2
2000-08-30,1.6048953008563196,-20.0,-20.0,-20.0,US2
2000-08-31,-0.3195334373986349,-20.0,-20.0,-20.0,US2
2000-09-07,-3.0897321341063173,-20.0,-20.0,-20.0,US2
