ticker,exchange
AEX,EURONEXT
AEX_mini,EURONEXT
ALUMINIUM,
ALUMINIUM_LME,LME
AUD,CME
AUD_micro,CME
AUDJPY,
BB3M,
BBCOMM,
BITCOIN,CME
BOBL,EUREX
BONO,MEFF
BOVESPA,
BRE,
BRENT-LAST,
BRENT_W,
BTP,
BTP3,
BUND,EUREX
BUTTER,
BUXL,
CAC,EURONEXT
CAD,CME
CAD10,
CAD2,
CAD5,
CAD_micro,CME
CANOLA,
CH10,
CHEESE,
CHF,CME
CHF_micro,CME
CHFJPY,
CHINAA-CON,
CLP,
CNH-onshore,
CNH,CME
COAL-GEORDIE,
COAL,
COCOA,ICE
COCOA_LDN,
COFFEE,ICE
COPPER-micro,
COPPER-mini,
COPPER,
COPPER_LME,LME
CORN,CME
CORN_mini,CME
COTTON,
COTTON2,
CRUDE_ICE,
CRUDE_W,
CRUDE_W_micro,
CRUDE_W_mini,
CZK,
DAX,EUREX
DJSTX-SMALL,
DOW,
DOW_mini,
DX,
EPRA-EUROPE,
ETHANOL,
ETHER-micro,
ETHEREUM,CME
EU-AUTO,
EU-BANKS,
EU-BASIC,
EU-CHEM,
EU-CONSTRUCTION,
EU-DIV30,
EU-DJ-OIL,
EU-DJ-TECH,
EU-DJ-TELECOM,
EU-DJ-UTIL,
EU-FOOD,
EU-HEALTH,
EU-HOUSE,
EU-INSURE,
EU-MEDIA,
EU-MID,
EU-OIL,
EU-REALESTATE,
EU-RETAIL,
EU-TECH,
EU-TRAVEL,
EU-UTILS,
EUA,
EUR,CME
EUR_micro,CME
EUR_mini,CME
EURAUD,
EURCAD,
EURCHF,
EURIBOR-ICE,ICE
EURIBOR,ICE
EURO600,EUREX
EUROSTX-LARGE,
EUROSTX-SMALL,
EUROSTX,EUREX
EUROSTX200-LARGE,
FANG,
FED,
FEEDCOW,
FTSE100,ICE
FTSE250,ICE
FTSECHINAA,
FTSECHINAH,
FTSEINDO,
FTSETAIWAN,
FTSEVIET,
GAS-LAST,
GAS-PEN,
GAS_US,
GAS_US_mini,
GASOIL,
GASOILINE,
GASOILINE_ICE,
GASOILINE_micro,
GBP,CME
GBP_micro,CME
GBPCHF,
GBPEUR,
GBPJPY,
GICS,
GILT,
GOLD-mini,
GOLD,
GOLD_micro,
HANG,
HANG_mini,
HANGENT,
HANGENT_mini,
HANGTECH,
HEATOIL-ICE,
HEATOIL,
HIGHYIELD,
HOUSE-US,
IBEX,
IBEX_mini,
IG,
INR,
IRON,
IRS,
JGB-mini,
JGB-SGX-mini,
JGB,
JP-REALESTATE,
JPY,CME
JPY_mini,CME
KOSDAQ,
KOSPI,
KOSPI_mini,
KR10,
KR3,
KRWUSD,
KRWUSD_mini,
LEAD_LME,LME
LEANHOG,
LIVECOW,
LUMBER-new,
MIB,
MILK,
MILKDRY,
MILKWET,
MILLWHEAT,
MSCIASIA,
MSCIEAFA,
MSCIEMASIA,
MSCISING,
MSCITAIWAN,
MSCIWORLD,
MUMMY,
MXP,CME
NASDAQ,
NASDAQ_micro,
NICKEL_LME,LME
NIKKEI,
NIKKEI400,
NOK,
NZD,CME
OAT,
OATIES,
OJ,
OMX,
PALLAD,
PLAT,
PLN,
R1000,
REDWHEAT,
RICE,
ROBUSTA,
RUBBER,
RUR,
RUSSELL,
RUSSELL_mini,
SARONA,
SEK,
SGD,
SGD_mini,
SGX,
SHATZ,
SILVER,
SMI-MID,
SMI,
SOFR,CME
SONIA3,
SOYBEAN,CME
SOYBEAN_mini,CME
SOYMEAL,
SOYOIL,
SP400,
SP500,
SP500_micro,
SPI200,
STEEL,
SUGAR11,
SUGAR16,
SUGAR_WHITE,
SWISSLEAD,
TIN_LME,LME
TOPIX,
TWD-mini,
TWD,
US-DISCRETE,
US-ENERGY,
US-FINANCE,
US-HEALTH,
US-INDUSTRY,
US-MATERIAL,
US-PROPERTY,
US-REALESTATE,
US-STAPLES,
US-TECH,
US-UTILS,
US10,
US10U,
US2,
US20,
US3,
US30,
US5,
V2X,
VIX,
VIX_mini,
VNKI,
WHEAT,CME
WHEAT_ICE,
WHEAT_mini,CME
WHEY,
YENEUR,
ZAR,CME
ZINC_LME,LME
AUDUSD,
CADUSD,
CHFUSD,
CNHUSD,
EURUSD,
GBPUSD,
HKDUSD,
JPYUSD,
MXPUSD,
SEKUSD,
SGDUSD,
