,x,y,regime
2013-07-31 00:00:00+00:00,-0.00061107,-0.00661104,Strong Bull
2013-08-31 00:00:00+00:00,0.00000000,0.02326280,Strong Bull
2013-09-30 00:00:00+00:00,-0.00401139,-0.01499027,Bear
2013-10-31 00:00:00+00:00,-0.00248706,-0.01423848,Bear
2013-11-30 00:00:00+00:00,0.00000000,0.01249073,Bull
2013-12-31 00:00:00+00:00,-0.00124103,0.03485407,Strong Bull
2014-01-31 00:00:00+00:00,-0.00169456,-0.07385236,Bull
2014-02-28 00:00:00+00:00,-0.00103641,0.00425424,Neutral
2014-03-31 00:00:00+00:00,0.00281978,-0.01224392,Weak Bear
2014-04-30 00:00:00+00:00,0.00220835,-0.02235776,Neutral
2014-05-31 00:00:00+00:00,0.00000000,0.03095524,Bull
2014-06-30 00:00:00+00:00,0.00099373,0.02794724,Bull
2014-07-31 00:00:00+00:00,-0.01054168,-0.01755151,Weak Bull
2014-08-31 00:00:00+00:00,0.00000000,0.03397259,Strong Bull
2014-09-30 00:00:00+00:00,0.00643730,0.05119762,Strong Bull
2014-10-31 00:00:00+00:00,0.01003575,0.00750271,Strong Bull
2014-11-30 00:00:00+00:00,0.00000000,0.07440533,Strong Bull
2014-12-31 00:00:00+00:00,0.00251889,0.00321070,Strong Bull
2015-01-31 00:00:00+00:00,0.00000000,0.07238026,Strong Bull
2015-02-28 00:00:00+00:00,0.00000000,-0.01334219,Strong Bull
2015-03-31 00:00:00+00:00,-0.00071102,-0.01060288,Strong Bull
2015-04-30 00:00:00+00:00,-0.00733715,-0.03177850,Bear
2015-05-31 00:00:00+00:00,0.00000000,-0.01352868,Bear
2015-06-30 00:00:00+00:00,-0.00035256,-0.02603213,Strong Bear
2015-07-31 00:00:00+00:00,0.00248027,0.04576097,Bear
2015-08-31 00:00:00+00:00,-0.00444525,-0.04248674,Bear
2015-09-30 00:00:00+00:00,-0.00170124,-0.01213328,Bull
2015-10-31 00:00:00+00:00,0.00000000,-0.02320354,Weak Bear
2015-11-30 00:00:00+00:00,-0.00195700,0.02888351,Bull
2015-12-31 00:00:00+00:00,-0.00125694,-0.02425113,Weak Bull
2016-01-31 00:00:00+00:00,0.00000000,0.01853004,Strong Bull
2016-02-29 00:00:00+00:00,0.00354207,0.01983547,Bull
2016-03-31 00:00:00+00:00,0.00138307,-0.00830968,Weak Bull
2016-04-30 00:00:00+00:00,0.00000000,-0.01320625,Strong Bear
2016-05-31 00:00:00+00:00,-0.00150937,-0.03116135,Strong Bear
2016-06-30 00:00:00+00:00,0.00194657,-0.02157549,Bear
2016-07-31 00:00:00+00:00,0.00000000,-0.00351300,Bull
2016-08-31 00:00:00+00:00,-0.00285119,-0.02490416,Neutral
2016-09-30 00:00:00+00:00,-0.00228089,-0.03113215,Bear
2016-10-31 00:00:00+00:00,-0.00168461,-0.01684726,Strong Bear
2016-11-30 00:00:00+00:00,0.00155854,0.02591401,Strong Bear
2016-12-31 00:00:00+00:00,0.00000000,0.01391360,Bear
2017-01-31 00:00:00+00:00,-0.00338137,-0.00751274,Weak Bear
