,replication_bps_per_month,overlay_bps_per_month
2013-07-31 00:00:00+00:00,0.454821,0.001807
2013-08-31 00:00:00+00:00,0.000594,0.672957
2013-09-30 00:00:00+00:00,0.092312,0.081629
2013-10-31 00:00:00+00:00,0.047817,0.264898
2013-11-30 00:00:00+00:00,0.020656,0.379590
2013-12-31 00:00:00+00:00,0.071122,0.203801
2014-01-31 00:00:00+00:00,0.083754,0.602460
2014-02-28 00:00:00+00:00,0.037296,0.320193
2014-03-31 00:00:00+00:00,0.114447,0.407679
2014-04-30 00:00:00+00:00,0.132897,0.000000
2014-05-31 00:00:00+00:00,0.048529,0.000000
2014-06-30 00:00:00+00:00,0.155949,0.012000
2014-07-31 00:00:00+00:00,0.085103,0.210740
2014-08-31 00:00:00+00:00,0.045535,0.203562
2014-09-30 00:00:00+00:00,0.043909,0.252905
2014-10-31 00:00:00+00:00,0.059492,0.445881
2014-11-30 00:00:00+00:00,0.012897,0.256066
2014-12-31 00:00:00+00:00,0.053707,0.275059
2015-01-31 00:00:00+00:00,0.045216,0.367448
2015-02-28 00:00:00+00:00,0.011770,0.154535
2015-03-31 00:00:00+00:00,0.027860,0.279929
2015-04-30 00:00:00+00:00,0.035258,0.373536
2015-05-31 00:00:00+00:00,0.010703,0.305513
2015-06-30 00:00:00+00:00,0.016129,0.000000
2015-07-31 00:00:00+00:00,0.031200,0.002000
2015-08-31 00:00:00+00:00,0.000002,0.291084
2015-09-30 00:00:00+00:00,0.025167,0.545775
2015-10-31 00:00:00+00:00,0.025178,0.436999
2015-11-30 00:00:00+00:00,0.012088,0.069819
2015-12-31 00:00:00+00:00,0.037434,0.892482
2016-01-31 00:00:00+00:00,0.040651,0.205559
2016-02-29 00:00:00+00:00,0.008598,0.439747
2016-03-31 00:00:00+00:00,0.034819,0.280376
2016-04-30 00:00:00+00:00,0.026873,0.383812
2016-05-31 00:00:00+00:00,0.006379,0.219048
2016-06-30 00:00:00+00:00,0.018770,0.249195
2016-07-31 00:00:00+00:00,0.038058,0.260426
2016-08-31 00:00:00+00:00,0.006406,0.158064
2016-09-30 00:00:00+00:00,0.032789,0.055765
2016-10-31 00:00:00+00:00,0.019230,0.051873
2016-11-30 00:00:00+00:00,0.037220,0.168073
2016-12-31 00:00:00+00:00,0.041105,0.297644
2017-01-31 00:00:00+00:00,0.055191,0.110395
2017-02-28 00:00:00+00:00,0.020789,0.059505
2017-03-31 00:00:00+00:00,0.015945,0.149861
2017-04-30 00:00:00+00:00,0.037416,0.374300
2017-05-31 00:00:00+00:00,0.010336,0.193655
2017-06-30 00:00:00+00:00,0.009166,0.449696
2017-07-31 00:00:00+00:00,0.022433,0.398943
2017-08-31 00:00:00+00:00,0.008792,0.349125
2017-09-30 00:00:00+00:00,0.011228,0.031940
2017-10-31 00:00:00+00:00,0.005492,0.196963
2017-11-30 00:00:00+00:00,0.013158,0.243540
2017-12-31 00:00:00+00:00,0.010832,0.059383
2018-01-31 00:00:00+00:00,0.018704,0.368566
2018-02-28 00:00:00+00:00,0.010840,0.422200
2018-03-31 00:00:00+00:00,0.010682,0.320530
2018-04-30 00:00:00+00:00,0.009577,0.390884
2018-05-31 00:00:00+00:00,0.005926,0.344291
2018-06-30 00:00:00+00:00,0.003271,0.080248
2018-07-31 00:00:00+00:00,0.004635,0.076433
2018-08-31 00:00:00+00:00,0.000000,0.168948
2018-09-30 00:00:00+00:00,0.013610,0.127176
2018-10-31 00:00:00+00:00,0.001830,0.494337
2018-11-30 00:00:00+00:00,0.006809,0.250548
2018-12-31 00:00:00+00:00,0.024153,0.175524
2019-01-31 00:00:00+00:00,0.046133,0.664628
2019-02-28 00:00:00+00:00,0.009326,0.379766
2019-03-31 00:00:00+00:00,0.001908,0.487858
2019-04-30 00:00:00+00:00,0.018300,0.059386
2019-05-31 00:00:00+00:00,0.000954,0.509430
2019-06-30 00:00:00+00:00,0.001283,0.197027
2019-07-31 00:00:00+00:00,0.003736,0.104896
2019-08-31 00:00:00+00:00,0.001908,0.215134
2019-09-30 00:00:00+00:00,0.021220,0.219185
2019-10-31 00:00:00+00:00,0.039292,0.093868
2019-11-30 00:00:00+00:00,0.003588,0.260757
2019-12-31 00:00:00+00:00,0.014291,0.231867
2020-01-31 00:00:00+00:00,0.023187,0.297910
2020-02-29 00:00:00+00:00,0.010939,0.019180
2020-03-31 00:00:00+00:00,0.013270,0.671307
2020-04-30 00:00:00+00:00,0.034789,0.358123
2020-05-31 00:00:00+00:00,0.017696,0.704613
2020-06-30 00:00:00+00:00,0.003599,0.548325
2020-07-31 00:00:00+00:00,0.017301,0.172113
2020-08-31 00:00:00+00:00,0.003242,0.573559
2020-09-30 00:00:00+00:00,0.018099,0.160567
2020-10-31 00:00:00+00:00,0.009674,0.571415
2020-11-30 00:00:00+00:00,0.009556,0.417610
2020-12-31 00:00:00+00:00,0.013359,0.197730
2021-01-31 00:00:00+00:00,0.021449,0.453207
2021-02-28 00:00:00+00:00,0.007411,0.077856
2021-03-31 00:00:00+00:00,0.007635,0.055978
2021-04-30 00:00:00+00:00,0.019361,0.192886
2021-05-31 00:00:00+00:00,0.002452,0.049726
2021-06-30 00:00:00+00:00,0.010614,0.228784
2021-07-31 00:00:00+00:00,0.015314,0.174717
2021-08-31 00:00:00+00:00,0.001447,0.267617
2021-09-30 00:00:00+00:00,0.012272,0.352556
2021-10-31 00:00:00+00:00,0.013934,0.866814
2021-11-30 00:00:00+00:00,0.000002,0.156663
2021-12-31 00:00:00+00:00,0.009186,0.516667
2022-01-31 00:00:00+00:00,0.017261,0.388896
2022-02-28 00:00:00+00:00,0.000003,0.066383
2022-03-31 00:00:00+00:00,0.007624,0.168254
2022-04-30 00:00:00+00:00,0.016192,0.174675
2022-05-31 00:00:00+00:00,0.000003,0.233796
2022-06-30 00:00:00+00:00,0.073798,0.179999
2022-07-31 00:00:00+00:00,0.147381,0.056366
2022-08-31 00:00:00+00:00,0.000030,0.182056
2022-09-30 00:00:00+00:00,0.011363,0.338260
2022-10-31 00:00:00+00:00,0.022697,0.377634
2022-11-30 00:00:00+00:00,0.000470,0.101182
2022-12-31 00:00:00+00:00,0.000852,0.498480
2023-01-31 00:00:00+00:00,0.000379,0.663332
2023-02-28 00:00:00+00:00,0.000372,0.218229
2023-03-31 00:00:00+00:00,0.012742,0.705825
2023-04-30 00:00:00+00:00,0.043187,0.279948
2023-05-31 00:00:00+00:00,0.029354,0.381683
2023-06-30 00:00:00+00:00,0.032464,0.235281
2023-07-31 00:00:00+00:00,0.011845,0.191211
2023-08-31 00:00:00+00:00,0.000001,0.359136
2023-09-30 00:00:00+00:00,0.000000,0.094290
2023-10-31 00:00:00+00:00,0.000000,0.384976
2023-11-30 00:00:00+00:00,0.000000,0.077107
2023-12-31 00:00:00+00:00,0.000000,0.480722
2024-01-31 00:00:00+00:00,0.000000,0.361405
2024-02-29 00:00:00+00:00,0.000000,0.180075
2024-03-31 00:00:00+00:00,0.000000,0.086400
