lambda,cv_corr
0.010000,0.617823
0.011659,0.617829
0.013594,0.617835
0.015849,0.617842
0.018478,0.617850
0.021544,0.617859
0.025119,0.617870
0.029286,0.617883
0.034145,0.617897
0.039811,0.617914
0.046416,0.617934
0.054117,0.617957
0.063096,0.617983
0.073564,0.618015
0.085770,0.618051
0.100000,0.618093
0.116591,0.616132
0.135936,0.616193
0.158489,0.616264
0.184785,0.616347
0.215443,0.616443
0.251189,0.616522
0.292864,0.616661
0.341455,0.616814
0.398107,0.616990
0.464159,0.616798
0.541170,0.617067
0.630957,0.617325
0.735642,0.617702
0.857696,0.618045
1.000000,0.618462
