lookback,mean_daily,std_daily,annual
5,0.00017103,0.00055676,0.04309946
10,0.00001722,0.00009281,0.00433950
15,0.00002746,0.00015273,0.00692003
16,0.00003480,0.00019635,0.00876943
20,0.00011975,0.00044698,0.03017588
30,0.00004578,0.00027377,0.01153545
32,0.00006415,0.00036454,0.01616505
40,0.00005000,0.00030090,0.01259899
60,0.00011638,0.00049828,0.02932761
80,0.00009852,0.00057850,0.02482698
90,0.00005194,0.00030485,0.01308812
120,0.00011271,0.00046007,0.02840352
150,0.00004917,0.00026780,0.01239125
160,0.00009254,0.00049433,0.02331990
180,0.00006784,0.00033940,0.01709477
220,0.00004297,0.00022344,0.01082761
260,0.00003787,0.00019214,0.00954332
