,ACCEL,BREAKOUT,CARRY,SKEWABS,TREND
2001,-0.00005819,0.00003299,0.00023781,0.00015464,-0.00010316
2002,0.00378806,0.01078623,-0.00852866,0.00455960,0.10181509
2003,0.00068589,0.00504490,-0.02469127,0.00193145,0.08620956
2004,0.00108365,0.00529373,0.00004814,-0.00081628,0.02377038
2005,0.00015923,0.00002483,-0.00410743,-0.00083957,0.01435755
2006,0.00089974,0.00718804,0.00741983,-0.00297150,0.02319946
2007,0.00212722,0.02222534,-0.00794923,0.00157632,0.11861159
2008,0.00358179,0.01550316,-0.00254373,0.00056193,0.11987539
2009,-0.00066613,0.00294360,-0.02174838,-0.00040999,-0.00034682
2010,0.00008765,0.00092754,-0.01361208,-0.00347387,0.06963205
2011,-0.00008565,0.00689785,0.00085015,0.00082063,0.02292998
2012,0.00076281,0.00347581,-0.01773691,-0.00435752,-0.02690485
2013,-0.00016796,0.00848967,-0.01146694,0.00200721,0.10806042
2014,0.00034323,0.01714027,-0.01431597,0.00047000,0.09016185
2015,0.00050143,-0.00385364,-0.01144046,0.00153157,-0.03299711
2016,0.00020816,0.01238730,-0.01648074,-0.00454925,-0.00255607
2017,-0.00021693,0.00057272,-0.01985056,0.01269992,0.00545568
2018,0.00013033,0.00674297,0.00272274,0.00380055,0.03835898
2019,0.00014190,0.00731070,-0.01159555,-0.00035084,0.07567298
2020,0.00024650,0.01822663,-0.02239578,-0.00624967,0.17177765
2021,0.00009323,0.00579610,0.01547653,0.01042255,0.05005284
2022,0.00025710,0.01455286,-0.00023788,0.00363937,0.16768126
2023,0.00019154,-0.00969410,0.00005925,0.00172593,-0.05806596
2024,-0.00040739,0.00337331,0.00000000,-0.00288567,0.02228615
