lookback,mean_daily,std_daily,annual
5,0.00006760,0.00026222,0.01703525
10,0.00001398,0.00014376,0.00352216
15,0.00002117,0.00018306,0.00533406
16,0.00002848,0.00024701,0.00717733
20,0.00006381,0.00026471,0.01607985
30,0.00003249,0.00022269,0.00818717
32,0.00005044,0.00035373,0.01271011
40,0.00003755,0.00023202,0.00946164
60,0.00009187,0.00031972,0.02315108
80,0.00007770,0.00044349,0.01957920
90,0.00004126,0.00022276,0.01039799
120,0.00006910,0.00025412,0.01741260
150,0.00004035,0.00018794,0.01016933
160,0.00007580,0.00035895,0.01910075
180,0.00005669,0.00028938,0.01428667
220,0.00004156,0.00018585,0.01047391
260,0.00003918,0.00017082,0.00987422
