Date,excess_net_ret
1972-09-15,
1972-09-18,
1972-09-19,
1972-09-20,
1972-09-21,
1972-09-22,
1972-09-25,
1972-09-26,
1972-09-27,
1972-09-28,
1972-09-29,
1972-10-02,
1972-10-03,
1972-10-04,
1972-10-05,
1972-10-06,
1972-10-09,
1972-10-10,
1972-10-11,
1972-10-12,
1972-10-13,
1972-10-16,
1972-10-17,
1972-10-18,
1972-10-19,
1972-10-20,
1972-10-23,
1972-10-24,
1972-10-25,
1972-10-26,
1972-10-27,
1972-10-30,
1972-10-31,
1972-11-01,
1972-11-02,
1972-11-03,
1972-11-06,
1972-11-08,
1972-11-09,
1972-11-10,
1972-11-13,
1972-11-14,
1972-11-15,
1972-11-16,
1972-11-17,
1972-11-20,
1972-11-21,
1972-11-22,
1972-11-27,
1972-11-28,
1972-11-29,
1972-11-30,
1972-12-01,
1972-12-04,
1972-12-05,
1972-12-06,
1972-12-07,
1972-12-08,
1972-12-11,
1972-12-12,
1972-12-13,
1972-12-14,
1972-12-15,
1972-12-18,
1972-12-19,
1972-12-20,
1972-12-21,
1972-12-22,
1972-12-26,
1972-12-27,
1972-12-29,
1973-01-02,
1973-01-03,
1973-01-04,
1973-01-05,
1973-01-08,
1973-01-09,
1973-01-10,
1973-01-11,
1973-01-12,
1973-01-15,
1973-01-16,
1973-01-17,
1973-01-18,
1973-01-19,
1973-01-22,
1973-01-23,
1973-01-24,
1973-01-26,
1973-01-29,
1973-01-30,
1973-01-31,
1973-02-01,
1973-02-02,
1973-02-05,
1973-02-06,
1973-02-07,
1973-02-08,
1973-02-09,
1973-02-12,
1973-02-13,
1973-02-14,
1973-02-15,
1973-02-16,
1973-02-20,
1973-02-21,
1973-02-22,
1973-02-23,
1973-02-26,
1973-02-27,
1973-02-28,
1973-03-01,
1973-03-02,
1973-03-05,
1973-03-06,
1973-03-07,
1973-03-08,
1973-03-09,
1973-03-12,
1973-03-13,
1973-03-14,
1973-03-15,
1973-03-16,
1973-03-19,
1973-03-20,
1973-03-21,
1973-03-22,
1973-03-23,
1973-03-26,
1973-03-27,
1973-03-28,
1973-03-29,
1973-03-30,
1973-04-02,
1973-04-03,
1973-04-04,
1973-04-05,
1973-04-06,
1973-04-09,
1973-04-10,
1973-04-11,
1973-04-12,
1973-04-13,
1973-04-16,
1973-04-17,
1973-04-18,
1973-04-19,
1973-04-23,
1973-04-24,
1973-04-25,
1973-04-26,
1973-04-27,
1973-04-30,
1973-05-01,
1973-05-02,
1973-05-03,
1973-05-04,
1973-05-07,
1973-05-08,
1973-05-09,
1973-05-10,
1973-05-11,
1973-05-14,
1973-05-15,
1973-05-16,
1973-05-17,
1973-05-18,
1973-05-21,
1973-05-22,
1973-05-23,
1973-05-24,
1973-05-25,
1973-05-29,
1973-05-30,
1973-05-31,
1973-06-01,
1973-06-04,
1973-06-05,
1973-06-06,
1973-06-07,
1973-06-08,
1973-06-11,
1973-06-12,
1973-06-13,
1973-06-14,
1973-06-15,
1973-06-18,
1973-06-19,
1973-06-20,
1973-06-21,
1973-06-22,
1973-06-25,
1973-06-26,
1973-06-27,
1973-06-28,
1973-06-29,
1973-07-02,
1973-07-03,
1973-07-05,
1973-07-06,
1973-07-09,
1973-07-10,
1973-07-11,
1973-07-12,
1973-07-13,
1973-07-16,
1973-07-17,
1973-07-18,
1973-07-19,
1973-07-20,
1973-07-23,
1973-07-24,
1973-07-25,
1973-07-26,
1973-07-27,
1973-07-30,
1973-07-31,
1973-08-01,
1973-08-02,
1973-08-03,
1973-08-06,
1973-08-07,
1973-08-08,
1973-08-09,
1973-08-10,
1973-08-13,
1973-08-14,
1973-08-15,
1973-08-16,
1973-08-17,
1973-08-20,
1973-08-21,
1973-08-22,
1973-08-23,
1973-08-24,
1973-08-27,
1973-08-28,
1973-08-29,
1973-08-30,
1973-08-31,
1973-09-04,
1973-09-05,
1973-09-06,
1973-09-07,
1973-09-10,
1973-09-11,
1973-09-12,
1973-09-13,
1973-09-14,
1973-09-17,
1973-09-18,
1973-09-19,
1973-09-20,
1973-09-21,
1973-09-24,
1973-09-25,
1973-09-26,
1973-09-27,
1973-09-28,
1973-10-01,
1973-10-02,
1973-10-03,
1973-10-04,
1973-10-05,
1973-10-08,
1973-10-09,
1973-10-10,
1973-10-11,
1973-10-12,
1973-10-15,
1973-10-16,
1973-10-17,
1973-10-18,
1973-10-19,
1973-10-22,
1973-10-23,
1973-10-24,
1973-10-25,
1973-10-26,
1973-10-29,
1973-10-30,
1973-10-31,
1973-11-01,
1973-11-02,
1973-11-05,
1973-11-06,
1973-11-07,
1973-11-08,
1973-11-09,
1973-11-12,
1973-11-13,
1973-11-14,
1973-11-15,
1973-11-16,
1973-11-19,
1973-11-20,
1973-11-21,
1973-11-26,
1973-11-27,
1973-11-28,
1973-11-29,
1973-11-30,
1973-12-03,
1973-12-04,
1973-12-05,
1973-12-06,
1973-12-07,
1973-12-10,
1973-12-11,
1973-12-12,
1973-12-13,
1973-12-14,
1973-12-17,
1973-12-18,
1973-12-19,
1973-12-20,
1973-12-21,
1973-12-26,
1973-12-27,
1973-12-28,
1973-12-31,
1974-01-02,
1974-01-03,
1974-01-04,0.001483486733001724
1974-01-07,-0.0002111111111111111
1974-01-08,-0.0002122222222222222
1974-01-09,-0.00021305555555555558
1974-01-10,-0.00021749999999999997
1974-01-11,-0.00021861111111111113
1974-01-14,0.0013682402348708152
1974-01-15,-0.00021916666666666666
1974-01-16,-0.00021944444444444444
1974-01-17,-0.00031751016562532505
1974-01-18,-0.00021833333333333335
1974-01-21,-0.00022138888888888886
1974-01-22,-0.00022111111111111113
1974-01-23,-0.00022250000000000001
1974-01-24,-0.00022250000000000001
1974-01-25,0.0024563734047477
1974-01-28,0.0011671267627307693
1974-01-29,0.0020603870723435156
1974-01-30,-0.0018841482686116839
1974-01-31,-0.0006026834940379965
1974-02-01,-0.00020305555555555555
1974-02-04,-0.00019805555555555557
1974-02-05,0.004745771604938427
1974-02-06,0.0002989004914005066
1974-02-07,0.00029365913555985993
1974-02-08,-0.00019555555555555556
1974-02-11,0.0012749762722958546
1974-02-12,-0.00019777777777777778
1974-02-13,0.005686797385620894
1974-02-14,0.0032160282651073095
1974-02-15,-0.0021388017376288626
1974-02-19,-0.00019527777777777778
1974-02-20,-0.0011687915652879811
1974-02-21,-0.00019694444444444447
1974-02-22,-0.0001972222222222222
1974-02-25,-0.00019861111111111113
1974-02-26,-0.00020277777777777777
1974-02-27,-0.00020416666666666665
1974-02-28,0.006124974562970145
1974-03-01,-0.0013711094976873329
1974-03-04,-0.00021
1974-03-05,-0.00195924635480608
1974-03-06,-0.00021416666666666668
1974-03-07,-0.002446898597626743
1974-03-08,0.0010471828138344077
1974-03-11,-0.00021861111111111113
1974-03-12,-0.00021749999999999997
1974-03-13,-0.00021749999999999997
1974-03-14,-0.0018665338516357483
1974-03-15,-0.00021777777777777778
1974-03-18,0.0009472772478016402
1974-03-19,0.00026225598228260105
1974-03-20,0.001621452866861137
1974-03-21,-0.00022527777777777775
1974-03-22,-0.00022416666666666668
1974-03-25,-0.00022555555555555553
1974-03-26,-0.001104412460525211
1974-03-27,-0.002370644552319295
1974-03-28,-0.00023750000000000003
1974-03-29,-0.00023
1974-04-01,-0.00023083333333333335
1974-04-02,-0.0002344444444444444
1974-04-03,0.0009317089900756543
1974-04-04,-0.0002402777777777778
1974-04-05,0.0012174481697441372
