lambda,cv_corr
0.001000,0.747077
0.001189,0.747430
0.001413,0.747444
0.001679,0.746485
0.001995,0.747907
0.002371,0.747765
0.002818,0.748285
0.003350,0.748343
0.003981,0.748058
0.004732,0.749188
0.005623,0.748491
0.006683,0.748787
0.007943,0.749320
0.009441,0.749792
0.011220,0.747863
0.013335,0.750786
0.015849,0.747973
0.018836,0.747812
0.022387,0.747528
0.026607,0.748439
0.031623,0.746612
0.037584,0.747828
0.044668,0.746792
0.053088,0.747634
0.063096,0.748211
0.074989,0.746054
0.089125,0.746063
0.105925,0.746462
0.125893,0.746072
0.149624,0.746038
0.177828,0.745209
0.211349,0.747605
0.251189,0.744092
0.298538,0.744441
0.354813,0.744272
0.421697,0.741923
0.501187,0.743316
0.595662,0.742480
0.707946,0.741858
0.841395,0.739120
1.000000,0.738566
