family,lookback,n_contracts,avg_live,effective_series
ACCEL,16,27,0.898644,24.263394
ACCEL,32,27,0.898644,24.263394
BREAKOUT,80,27,0.898644,24.263394
BREAKOUT,160,27,0.898644,24.263394
CARRY,5,27,0.664657,17.945736
CARRY,20,27,0.664657,17.945736
CARRY,60,27,0.664657,17.945736
CARRY,120,27,0.664657,17.945736
SKEWABS,180,27,0.898644,24.263394
TREND,5,27,0.898644,24.263394
TREND,10,27,0.898644,24.263394
TREND,15,27,0.898644,24.263394
TREND,16,27,0.898644,24.263394
TREND,20,27,0.898644,24.263394
TREND,30,27,0.898644,24.263394
TREND,32,27,0.898644,24.263394
TREND,40,27,0.898644,24.263394
TREND,60,27,0.898644,24.263394
TREND,80,27,0.898644,24.263394
TREND,90,27,0.898644,24.263394
TREND,120,27,0.898644,24.263394
TREND,150,27,0.898644,24.263394
TREND,160,27,0.898644,24.263394
TREND,180,27,0.898644,24.263394
TREND,220,27,0.898644,24.263394
TREND,260,27,0.898644,24.263394
