lookback,mean_daily,std_daily,annual
5,0.00006014,0.00018722,0.01515578
10,0.00000534,0.00006087,0.00134452
15,0.00000872,0.00008897,0.00219757
16,0.00001590,0.00014458,0.00400571
20,0.00006229,0.00021215,0.01569612
30,0.00002989,0.00018588,0.00753155
32,0.00004735,0.00029733,0.01193317
40,0.00003972,0.00022789,0.01000920
60,0.00008170,0.00032262,0.02058805
80,0.00008989,0.00046995,0.02265317
90,0.00004940,0.00024592,0.01244920
120,0.00008962,0.00030454,0.02258431
150,0.00004785,0.00020618,0.01205858
160,0.00009086,0.00039929,0.02289680
180,0.00006844,0.00031918,0.01724738
220,0.00004995,0.00020810,0.01258785
260,0.00005076,0.00021193,0.01279238
